City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
272,Havoysund,NO,2021-05-25 22:37:32,70.9963,24.6622,36.48,69,17,1.45
273,La Romana,DO,2021-05-25 22:37:32,18.4273,-68.9728,84.56,65,40,11.5
274,Severo-Kurilsk,RU,2021-05-25 22:37:33,50.6789,156.125,37.65,97,100,15.32
275,Riberalta,BO,2021-05-25 22:37:33,-10.9833,-66.1,82.6,74,40,1.86
276,Vardo,NO,2021-05-25 22:37:34,70.3705,31.1107,34.0,70,50,8.77
277,Cabedelo,BR,2021-05-25 22:37:34,-6.9811,-34.8339,77.67,85,26,10.45
278,Port Shepstone,ZA,2021-05-25 22:37:35,-30.7414,30.455,66.43,46,100,5.48
279,Gweru,ZW,2021-05-25 22:37:35,-19.45,29.8167,46.33,60,0,4.68
280,Motala,SE,2021-05-25 22:37:36,58.5371,15.0365,49.78,95,100,17.94
281,Medianeira,BR,2021-05-25 22:37:36,-25.2953,-54.0939,57.27,48,85,2.42
282,Bibiani,GH,2021-05-25 22:37:37,6.4635,-2.3194,73.13,98,89,2.44
283,Sandur,IN,2021-05-25 22:37:38,15.1,76.55,74.84,82,100,17.9
284,Bichura,RU,2021-05-25 22:37:38,50.5881,107.6022,45.61,90,100,4.45
285,Boa Vista,BR,2021-05-25 22:37:39,2.8197,-60.6733,78.78,83,75,5.75
286,Kavieng,PG,2021-05-25 22:37:40,-2.5744,150.7967,79.41,86,100,8.08
287,Umea,SE,2021-05-25 22:37:40,63.8284,20.2597,41.92,87,0,4.61
288,Caravelas,BR,2021-05-25 22:37:41,-17.7125,-39.2481,74.46,90,52,7.65
289,San Andres,CO,2021-05-25 22:34:11,12.5847,-81.7006,86.02,70,75,17.27
290,Ostrovnoy,RU,2021-05-25 22:37:42,68.0531,39.5131,33.48,79,9,6.69
291,Henties Bay,NA,2021-05-25 22:37:43,-22.116,14.2845,64.65,74,0,5.53
